CID,Figure
ITEOO_216,TiO2-stability-RACB-svsvs
ITEOO_217,TiO2-stability-RACB-svsvs
ITEOO_218,TiO2-stability-RACB-svsvs
ITEOO_219,TiO2-stability-RACB-svsvs
ITEOO_220,TiO2-stability-RACB-svsvs
ITEOO_221,TiO2-stability-RACB-svsvs
ITEOO_222,TiO2-stability-RACB-svsvs
ITEOO_223,TiO2-stability-RACB-svsvs
ITEOO_224,TiO2-stability-RACB-svsvs
ITEOO_225,TiO2-stability-RACB-svsvs
ITEOO_226,TiO2-stability-RACB-svsvs
ITEOO_227,TiO2-stability-RACB-svsvs
ITEOO_228,TiO2-stability-RACB-svsvs
ITEOO_229,TiO2-stability-RACB-svsvs
ITEOO_230,TiO2-stability-RACB-svsvs
ITEOO_231,TiO2-stability-RACB-svsvs
ITEOO_232,TiO2-stability-RACB-svsvs
ITEOO_233,TiO2-stability-RACB-svsvs
ITEOO_234,TiO2-stability-RACB-svsvs
ITEOO_235,TiO2-stability-RACB-svsvs
ITEOO_236,TiO2-stability-RACB-svsvs
ITEOO_237,TiO2-stability-RACB-svsvs
ITEOO_238,TiO2-stability-RACB-svsvs
ITEOO_239,TiO2-stability-RACB-svsvs
ITEOO_240,TiO2-stability-RACB-svsvs
ITEOO_241,TiO2-stability-RACB-svsvs
ITEOO_242,TiO2-stability-RACB-svsvs
ITEOO_243,TiO2-stability-RACB-svsvs
ITEOO_244,TiO2-stability-RACB-svsvs
ITEOO_245,TiO2-stability-RACB-svsvs
ITEOO_246,TiO2-stability-RACB-svsvs
ITEOO_247,TiO2-stability-RACB-svsvs
ITEOO_248,TiO2-stability-RACB-svsvs
ITEOO_249,TiO2-stability-RACB-svsvs
ITEOO_250,TiO2-stability-RACB-svsvs
ITEOO_251,TiO2-stability-RACB-svsvs
ITEOO_252,TiO2-stability-RACB-svsvs
ITEOO_253,TiO2-stability-RACB-svsvs
ITEOO_254,TiO2-stability-RACB-svsvs
ITEOO_255,TiO2-stability-RACB-svsvs
ITEOO_256,TiO2-stability-RACB-svsvs
ITEOO_257,TiO2-stability-RACB-svsvs
ITEOO_258,TiO2-stability-RACB-svsvs
ITEOO_259,TiO2-stability-RACB-svsvs
ITEOO_260,TiO2-stability-RACB-svsvs
ITEOO_261,TiO2-stability-RACB-svsvs
ITEOO_262,TiO2-stability-RACB-svsvs
ITEOO_263,TiO2-stability-RACB-svsvs
ITEOO_264,TiO2-stability-RACB-svsvs
ITEOO_265,TiO2-stability-RACB-svsvs
ITEOO_266,TiO2-stability-RACB-PBELDAPBEs
ITEOO_267,TiO2-stability-RACB-PBELDAPBEs
ITEOO_268,TiO2-stability-RACB-PBELDAPBEs
ITEOO_269,TiO2-stability-RACB-PBELDAPBEs
ITEOO_270,TiO2-stability-RACB-PBELDAPBEs
ITEOO_271,TiO2-stability-RACB-PBELDAPBEs
ITEOO_272,TiO2-stability-RACB-PBELDAPBEs
ITEOO_273,TiO2-stability-RACB-PBELDAPBEs
ITEOO_274,TiO2-stability-RACB-PBELDAPBEs
ITEOO_275,TiO2-stability-RACB-PBELDAPBEs
ITEOO_276,TiO2-stability-RACB-PBELDAPBEs
ITEOO_277,TiO2-stability-RACB-PBELDAPBEs
ITEOO_278,TiO2-stability-RACB-PBELDAPBEs
ITEOO_279,TiO2-stability-RACB-PBELDAPBEs
ITEOO_280,TiO2-stability-RACB-PBELDAPBEs
ITEOO_281,TiO2-stability-RACB-PBELDAPBEs
ITEOO_282,TiO2-stability-RACB-PBELDAPBEs
ITEOO_283,TiO2-stability-RACB-PBELDAPBEs
ITEOO_284,TiO2-stability-RACB-PBELDAPBEs
ITEOO_285,TiO2-stability-RACB-PBELDAPBEs
ITEOO_286,TiO2-stability-RACB-PBELDAPBEs
ITEOO_287,TiO2-stability-RACB-PBELDAPBEs
ITEOO_288,TiO2-stability-RACB-PBELDAPBEs
ITEOO_289,TiO2-stability-RACB-PBELDAPBEs
ITEOO_290,TiO2-stability-RACB-PBELDAPBEs
ITEOO_291,TiO2-stability-RACB-PBELDAPBEs
ITEOO_292,TiO2-stability-RACB-PBELDAPBEs
ITEOO_293,TiO2-stability-RACB-PBELDAPBEs
ITEOO_294,TiO2-stability-RACB-PBELDAPBEs
ITEOO_295,TiO2-stability-RACB-PBELDAPBEs
ITEOO_296,TiO2-stability-RACB-PBELDAPBEs
ITEOO_297,TiO2-stability-RACB-PBELDAPBEs
ITEOO_298,TiO2-stability-RACB-PBELDAPBEs
ITEOO_299,TiO2-stability-RACB-PBELDAPBEs
ITEOO_300,TiO2-stability-RACB-PBELDAPBEs
ITEOO_301,TiO2-stability-RACB-PBELDAPBEs
ITEOO_302,TiO2-stability-RACB-PBELDAPBEs
ITEOO_303,TiO2-stability-RACB-PBELDAPBEs
ITEOO_304,TiO2-stability-RACB-PBELDAPBEs
ITEOO_305,TiO2-stability-RACB-PBELDAPBEs
ITEOO_306,TiO2-stability-RACB-PBELDAPBEs
ITEOO_307,TiO2-stability-RACB-PBELDAPBEs
ITEOO_308,TiO2-stability-RACB-PBELDAPBEs
ITEOO_309,TiO2-stability-RACB-PBELDAPBEs
ITEOO_310,TiO2-stability-RACB-PBELDAPBEs
ITEOO_311,TiO2-stability-RACB-PBELDAPBEs
ITEOO_312,TiO2-stability-RACB-PBELDAPBEs
ITEOO_313,TiO2-stability-RACB-PBELDAPBEs
ITEOO_314,TiO2-stability-RACB-PBELDAPBEs
ITEOO_315,TiO2-stability-RACB-PBELDAPBEs
ITEOO_316,TiO2-stability-RACB-PBELDAPBEs
ITEOO_317,TiO2-stability-RACB-PBELDAPBEs
ITEOO_318,TiO2-stability-RACB-PBELDAPBEs
ITEOO_319,TiO2-stability-RACB-PBELDAPBEs
ITEOO_320,TiO2-stability-RACB-PBELDAPBEs
ITEOO_321,TiO2-stability-RACB-PBELDAPBEs
ITEOO_322,TiO2-stability-RACB-PBELDAPBEs
ITEOO_323,TiO2-stability-RACB-PBELDAPBEs
ITEOO_324,TiO2-stability-RACB-PBELDAPBEs
ITEOO_325,TiO2-stability-RACB-PBELDAPBEs
ITEOO_326,TiO2-stability-RACB-PBELDAPBEs
ITEOO_327,TiO2-stability-RACB-PBELDAPBEs
ITEOO_328,TiO2-stability-RACB-PBELDAPBEs
ITEOO_329,TiO2-stability-RACB-PBELDAPBEs
ITEOO_330,TiO2-stability-RACB-PBELDAPBEs
ITEOO_331,TiO2-stability-RACB-PBELDAPBEs
ITEOO_332,TiO2-stability-RACB-PBELDAPBEs
ITEOO_333,TiO2-stability-RACB-PBELDAPBEs
ITEOO_334,TiO2-stability-RACB-PBELDAPBEs
ITEOO_335,TiO2-stability-RACB-PBELDAPBEs
ITEOO_336,TiO2-stability-RACB-PBELDAPBEs
ITEOO_337,TiO2-stability-RACB-PBELDAPBEs
ITEOO_338,TiO2-stability-RACB-PBELDAPBEs
ITEOO_339,TiO2-stability-RACB-PBELDAPBEs
ITEOO_340,TiO2-stability-RACB-PBELDAPBEs
ITEOO_341,TiO2-stability-RACB-PBELDAPBEs
ITEOO_342,TiO2-stability-RACB-PBELDAPBEs
ITEOO_343,TiO2-stability-RACB-PBELDAPBEs
ITEOO_344,TiO2-stability-RACB-PBELDAPBEs
ITEOO_345,TiO2-stability-RACB-PBELDAPBEs
ITEOO_346,TiO2-stability-RACB-PBELDAPBEs
ITEOO_347,TiO2-stability-RACB-PBELDAPBEs
ITEOO_348,TiO2-stability-RACB-PBELDAPBEs
ITEOO_349,TiO2-stability-RACB-PBELDAPBEs
ITEOO_350,TiO2-stability-RACB-PBELDAPBEs
ITEOO_351,TiO2-stability-RACB-PBELDAPBEs
ITEOO_352,TiO2-stability-RACB-PBELDAPBEs
ITEOO_353,TiO2-stability-RACB-PBELDAPBEs
ITEOO_354,TiO2-stability-RACB-PBELDAPBEs
ITEOO_355,TiO2-stability-RACB-PBELDAPBEs
ITEOO_356,TiO2-stability-RACB-PBELDAPBEs
ITEOO_357,TiO2-stability-RACB-PBELDAPBEs
ITEOO_358,TiO2-stability-RACB-PBELDAPBEs
ITEOO_359,TiO2-stability-RACB-PBELDAPBEs
ITEOO_360,TiO2-stability-RACB-PBELDAPBEs
ITEOO_361,TiO2-stability-RACB-PBELDAPBEs
ITEOO_362,TiO2-stability-RACB-PBELDAPBEs
ITEOO_363,TiO2-stability-RACB-PBELDAPBEs
ITEOO_364,TiO2-stability-RACB-PBELDAPBEs
ITEOO_365,TiO2-stability-RACB-PBELDAPBEs
ITEOO_366,TiO2-stability-RACB-PBELDAPBEs
ITEOO_367,TiO2-stability-RACB-PBELDAPBEs
ITEOO_368,-
ITEOO_369,-
ITEOO_370,-
ITEOO_371,-
ITEOO_372,-
ITEOO_373,-
ITEOO_374,-
ITEOO_375,-
ITEOO_376,-
ITEOO_377,-
ITEOO_378,-
ITEOO_379,-
ITEOO_380,-
ITEOO_381,-
ITEOO_382,-
ITEOO_383,-
ITEOO_384,-
ITEOO_385,-
ITEOO_386,-
ITEOO_387,-
ITEOO_388,-
ITEOO_389,-
ITEOO_390,-
ITEOO_391,-
ITEOO_392,-
ITEOO_393,-
ITEOO_394,-
ITEOO_395,-
ITEOO_396,-
ITEOO_397,-
ITEOO_398,-
ITEOO_399,-
ITEOO_400,-
ITEOO_401,-
ITEOO_402,-
ITEOO_403,-
ITEOO_404,-
ITEOO_405,-
ITEOO_406,-
ITEOO_407,-
ITEOO_408,-
ITEOO_409,-
ITEOO_410,-
ITEOO_411,-
ITEOO_412,-
ITEOO_413,-
ITEOO_414,-
ITEOO_415,-
ITEOO_416,-
ITEOO_417,-
ITEOO_418,-
ITEOO_419,-
ITEOO_420,-
ITEOO_421,-
ITEOO_422,-
ITEOO_423,-
ITEOO_424,-
ITEOO_425,-
ITEOO_426,-
ITEOO_427,-
ITEOO_428,-
ITEOO_429,-
ITEOO_430,-
ITEOO_431,-
ITEOO_432,-
ITEOO_433,-
ITEOO_434,-
ITEOO_435,-
ITEOO_436,-
ITEOO_437,-
ITEOO_438,-
ITEOO_439,-
ITEOO_440,-
ITEOO_441,-
ITEOO_442,-
ITEOO_443,-
ITEOO_444,-
ITEOO_445,-
ITEOO_446,-
ITEOO_447,-
ITEOO_448,-
ITEOO_449,-
ITEOO_450,-
ITEOO_451,-
ITEOO_452,-
ITEOO_453,-
ITEOO_454,-
ITEOO_455,-
ITEOO_456,-
ITEOO_457,-
ITEOO_458,-
ITEOO_459,-
ITEOO_460,-
ITEOO_461,-
ITEOO_462,-
ITEOO_463,-
ITEOO_464,-
ITEOO_465,-
ITEOO_466,-
ITEOO_467,-
ITEOO_468,-
ITEOO_469,-
ITEOO_470,-
ITEOO_471,-
ITEOO_472,-
ITEOO_473,-
ITEOO_474,-
ITEOO_488,TiO2-stability-RAC-HSE06PBE0
ITEOO_489,TiO2-stability-RAC-HSE06PBE0
ITEOO_490,TiO2-stability-RAC-HSE06PBE0
ITEOO_491,TiO2-stability-RAC-HSE06PBE0
ITEOO_492,TiO2-stability-RAC-HSE06PBE0
ITEOO_493,TiO2-stability-RAC-HSE06PBE0
ITEOO_494,TiO2-stability-RAC-HSE06PBE0
ITEOO_495,TiO2-stability-RAC-HSE06PBE0
ITEOO_496,TiO2-stability-RAC-HSE06PBE0
ITEOO_497,TiO2-stability-RAC-HSE06PBE0
ITEOO_498,TiO2-stability-RAC-HSE06PBE0
ITEOO_499,TiO2-stability-RAC-HSE06PBE0
ITEOO_500,TiO2-stability-RAC-HSE06PBE0
ITEOO_501,TiO2-stability-RAC-HSE06PBE0
ITEOO_502,TiO2-stability-RAC-HSE06PBE0
ITEOO_503,TiO2-stability-RAC-HSE06PBE0
ITEOO_504,TiO2-stability-RAC-HSE06PBE0
ITEOO_505,TiO2-stability-RAC-HSE06PBE0
ITEOO_506,TiO2-stability-RAC-HSE06PBE0
ITEOO_507,TiO2-stability-RAC-HSE06PBE0
ITEOO_508,TiO2-stability-RAC-HSE06PBE0
ITEOO_509,TiO2-stability-RAC-HSE06PBE0
ITEOO_510,TiO2-stability-RAC-HSE06PBE0
ITEOO_511,TiO2-stability-RAC-HSE06PBE0
ITEOO_512,TiO2-stability-RAC-HSE06PBE0
ITEOO_513,TiO2-stability-RAC-HSE06PBE0
ITEOO_514,TiO2-stability-RAC-HSE06PBE0
ITEOO_515,TiO2-stability-RAC-HSE06PBE0
ITEOO_516,TiO2-stability-RAC-HSE06PBE0
ITEOO_517,TiO2-stability-RAC-HSE06PBE0
ITEOO_518,TiO2-stability-RAC-HSE06PBE0
ITEOO_519,-
ITEOO_520,-
ITEOO_521,-
